"chave_monitoramento","tipo","nome","cnpj","codigo_fip","endereco","cidade_uf_cep","ddd","tel","fax","site","email","data_autorizacao_cadastramento","entcodigo","codativo"
"resseguradora eventual::51276","Resseguradora Eventual","ODYSSEY REINSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04578000","11","35126922 -","","SEM INFORMACAO","rsampaio@odysseygroup.com","","51276","True"
"resseguradora eventual::51411","Resseguradora Eventual","NEW REINSURANCE COMPANY (NOUVELLE COMPAGNIE DE RÉASSURANCES)","../-","","","SÃO PAULO - Cep: 04538132","11","5102-1500 -","","SEM INFORMACAO","ksteinmetz@munichre.com","","51411","True"
"resseguradora eventual::51438","Resseguradora Eventual","HCC INTERNATIONAL INSURANCE COMPANY PLC","../-","","","SÃO PAULO - Cep: 05419-00","11","3356-1821 -","3291-4801","SEM INFORMACAO","aalarcon@demarest.com.br","","51438","True"
"resseguradora eventual::51551","Resseguradora Eventual","ENDURANCE ASSURANCE CORPORATION (ATUAL DENOMINAÇÃO DE ENDURANCE REINSURANCE CORPORATION OF AMERICA)","../-","","","SÃO PAULO - Cep: 01418000","11","38864800 -","","SEM INFORMACAO","crislocateli@br.gt.com","","51551","True"
"resseguradora eventual::51578","Resseguradora Eventual","HYUNDAI MARINE & FIRE INSURANCE COMPANY LIMITED","../-","","","SÃO PAULO - Cep: 05419001","11","3356-1821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","51578","True"
"resseguradora eventual::51616","Resseguradora Eventual","EURASIA INSURANCE COMPANY JSC","../-","","","SÃO PAULO - Cep: 01418000","11","4861-3900 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","51616","True"
"resseguradora eventual::51748","Resseguradora Eventual","R+V VERSICHERUNG AG","../-","","","SÃO PAULO - Cep: 01418102","11","3288-9188 -","","SEM INFORMACAO","DCARDOSO@AZCARDOSO.COM.BR","","51748","True"
"resseguradora eventual::51845","Resseguradora Eventual","FIDELIS UNDERWRITING LIMITED","../-","","","SÃO PAULO - Cep: 04543000","11","969132871 -","","SEM INFORMACAO","marcella.hill@cmalaw.com","","51845","True"
"resseguradora eventual::51934","Resseguradora Eventual","ENDURANCE WORLDWIDE INSURANCE LIMITED","../-","","","- Cep: 01418000","11","3886-4800 -","","SEM INFORMACAO","crislocateli@br.gt.com","","51934","True"
"resseguradora eventual::52060","Resseguradora Eventual","KOREAN REINSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04534010","11","30789333 -","","SEM INFORMACAO","staff@pikielny.com.br","","52060","True"
"resseguradora eventual::52078","Resseguradora Eventual","STARSTONE SPECIALTY INSURANCE COMPANY (ATUAL DENOMINAÇÃO DE TORUS SPECIALTY INSURANCE COMPANY)","../-","","","SÃO PAULO - Cep: 05684040","11","3758-8512 -","","SEM INFORMACAO","oscar.lolato@starstone.com","","52078","True"
"resseguradora eventual::52248","Resseguradora Eventual","HOUSTON SPECIALTY INSURANCE COMPANY","../-","","","SAO PAULO - Cep: 04664000","11","987106789 -","","SEM INFORMACAO","daniel.melnik@yahoo.com.br","","52248","True"
"resseguradora eventual::52272","Resseguradora Eventual","AMTRUST SPECIALTY LIMITED","../-","","","SÃO PAULO - Cep: 04534010","11","3078-9333 -","","SEM INFORMACAO","staff@pikielny.com.br","","52272","True"
"resseguradora eventual::52329","Resseguradora Eventual","ECHO REINSURANCE LIMITED","../-","","","- Cep: 05419001","11","9 9605 5251 -","","SEM INFORMACAO","apcosta@santosbevilaqua.com.br.","","52329","True"
"resseguradora eventual::52558","Resseguradora Eventual","PEERLESS INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 01418102","11","3288-9188 -","","SEM INFORMACAO","dcarsoso@azcardoso.com.br","","52558","True"
"resseguradora eventual::52795","Resseguradora Eventual","NAVIGATORS INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 01311902","11","94101-0616 -","","SEM INFORMACAO","crislocateli@pryorglobal.com.","","52795","True"
"resseguradora eventual::52809","Resseguradora Eventual","IF P&C INSURANCE LTD.","00.000.000/0000-00","","","SÃO PAULO - Cep: 04004040","11","38864860 -","","SEM INFORMACAO","cristiane.locateli@pryorglobal.com","","52809","True"
"resseguradora eventual::52922","Resseguradora Eventual","AXA VERSICHERUNGEN AG","../-","","","SÃO PAULO - Cep:","","969132871 -","","SEM INFORMACAO","marcella.hill@cmalaw.com","","52922","True"
"resseguradora eventual::52957","Resseguradora Eventual","MITSUI SUMITOMO INSURANCE COMPANY OF AMERICA","../-","","","SÃO PAULO - Cep: 05419001","11","33561821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","52957","True"
"resseguradora eventual::53147","Resseguradora Eventual","GOTHAER ALLGEMEINE VERSICHERUNG AG","../-","","","SÃO PAULO - Cep: 05419001","11","33561821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","53147","True"
"resseguradora eventual::53261","Resseguradora Eventual","LLOYD´S","../-","","","RIO DE JANEIRO - Cep: 20010010","21","32661900 -","","SEM INFORMACAO","rafaela.barreda@lloyds.com","","53261","True"
"resseguradora eventual::53414","Resseguradora Eventual","EXPORT DEVELOPMENT CANADA","../-","","","SÃO PAULO - Cep: 01451001","11","3150-7084 -","","SEM INFORMACAO","nsz@machadomeyer.com.br","","53414","True"
"resseguradora eventual::53473","Resseguradora Eventual","RENAISSANCERE EUROPE AG.","../-","","","SÃO PAULL - Cep: 05725030","11","3759-8881 -","","SEM INFORMACAO","ronald.kaufmann@controlconsultoria.com","","53473","True"
"resseguradora eventual::53635","Resseguradora Eventual","MMA IARD S.A.","../-","","","SÃO PAULO - Cep: 01311902","11","48613900 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","53635","True"
"resseguradora eventual::53651","Resseguradora Eventual","HELVETIA SCHWEIZERISCHE VERSICHERUNGSGESELLSCHAFT AG","../-","","","SÃO PAULO - Cep: 01418102","11","95156-1259 -","","SEM INFORMACAO","DCARDOSO@AZCARDOSO.COM.BR","","53651","True"
"resseguradora eventual::53724","Resseguradora Eventual","AWP HEALTH & LIFE S.A","../-","","","- Cep: 09750-73","11","91580 7496 -","","SEM INFORMACAO","daniel.pita@allianz.com","","53724","True"
"resseguradora eventual::54038","Resseguradora Eventual","DEUTSCHE RUCKVERSICHERUNG AG","../-","","","- Cep:","21","39707200 -","","SEM INFORMACAO","PEDRO.BACELLAR@CGVADVOGADOS.COM.BR","","54038","True"
"resseguradora eventual::54127","Resseguradora Eventual","AXIS INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04571-93","11","4837-5705 -","","SEM INFORMACAO","juan.bragadin@jbael.com.br","","54127","True"
"resseguradora eventual::54186","Resseguradora Eventual","SWISS REINSURANCE AMERICA CORPORATION","../-","","","SÃO PAULO - Cep: 04216060","11","30738072 -","","SEM INFORMACAO","natalia_velasques@swissre.com","","54186","True"
"resseguradora eventual::54381","Resseguradora Eventual","LIBERTY MUTUAL INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 01418102","11","3288-9188 -","","SEM INFORMACAO","dcardoso@azcardoso.com.br","","54381","True"
"resseguradora eventual::54488","Resseguradora Eventual","CHUBB EUROPEAN GROUP SE","../-","","","SÃO PAULO - Cep: 04794000","11","45041641 -","","SEM INFORMACAO","LEANDRO.MARTINEZ@CHUBB.COM","","54488","True"
"resseguradora eventual::54534","Resseguradora Eventual","SI INSURANCE (EUROPE) S.A.","../-","","","SÃO PAULO - Cep: 01311000","11","4861-3900 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","54534","True"
"resseguradora eventual::54569","Resseguradora Eventual","NOVA CASIOPEA RE S.A.","../-","","","- Cep:","11","97521-0645 -","","SEM INFORMACAO","valquiria.rocha@telefonica.com","","54569","True"
"resseguradora eventual::54666","Resseguradora Eventual","ACE PROPERTY AND CASUALTY INSURANCE COMPANY","../-","","","SAO PAULO - Cep: 04794000","11","4504-1641 -","","SEM INFORMACAO","leandro.martinez@chubb.com","","54666","True"
"resseguradora eventual::54933","Resseguradora Eventual","THE NEW INDIA ASSURANCE COMPANY LTD.","../-","","","SÃO PAULO - Cep: 05419001","11","3356-1821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","54933","True"
"resseguradora eventual::54950","Resseguradora Eventual","ASSICURAZIONI GENERALI S.P.A.","../-","","","- Cep:","21","25080100 -","","SEM INFORMACAO","stefano_convertino@generali.com.br","","54950","True"
"resseguradora eventual::55000","Resseguradora Eventual","HOUSTON CASUALTY COMPANY","../-","","","RIO DE JANEIRO - Cep: 222906","21","2206-4915 -","","SEM INFORMACAO","anna.mello@trenchrossi.com","","55000","True"
"resseguradora eventual::55042","Resseguradora Eventual","SWISS RE CORPORATE SOLUTIONS AMERICA INSURANCE CORPORATION","../-","","","SÃO PAULO - Cep: 01451000","11","30738068 -","","SEM INFORMACAO","beatriz_almada@swissre.com","","55042","True"
"resseguradora eventual::55409","Resseguradora Eventual","XL SPECIALTY INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04660000","11","98830-8453 -","","SEM INFORMACAO","thisiani.martins@axaxl.com","","55409","True"
"resseguradora eventual::55425","Resseguradora Eventual","MS AMLIN AG","../-","","","RIO DE JANEIRO - Cep:","21","39707200 -","","SEM INFORMACAO","guilherme.bernardes@cgvadvogados.com.br","","55425","True"
"resseguradora eventual::55514","Resseguradora Eventual","NORWEGIAN HULL CLUB","../-","","","RIO DE JANEIRO - Cep: 22240006","21","993148228 -","","SEM INFORMACAO","paulo.macera@gmail.com","","55514","True"
"resseguradora eventual::55573","Resseguradora Eventual","HDI GLOBAL SE (ATUAL DENOMINAÇÃO DE HDI-GERLING INDUSTRIE VERSICHERUNG AG)","../-","","","SÃO PAULO - Cep: 04571020","11","95021-8332 -","","SEM INFORMACAO","eduardo.dalri@hdi-yelum.com.br","","55573","True"
"resseguradora eventual::55662","Resseguradora Eventual","ACHMEA REINSURANCE COMPANY N.V.","../-","","","SÃO PAULO - Cep: 01311902","11","93765-1575 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","55662","True"
"resseguradora eventual::55875","Resseguradora Eventual","COMPAÑIA ESPAÑOLA DE SEGUROS DE CRÉDITO A LA EXPORTACIÓN, SA.","../-","","","- Cep: 01419001","21","996055666 -","","SEM INFORMACAO","csalazar@cscebrasil.com.br","","55875","True"
"resseguradora eventual::55891","Resseguradora Eventual","DELCREDERE/DUCROIRE","../-","","","COTIA - Cep: 04538132","11","37027000 -","","SEM INFORMACAO","sergio.bruna@ldr.com.br","","55891","True"
"resseguradora eventual::55921","Resseguradora Eventual","SOMPO JAPAN INSURANCE INC.(ATUAL DENOMINAÇÃO DE SOMPO JAPAN NIPPONKOA INSURANCE INC)","../-","","","SÃO PAULO - Cep: 04013001","11","95065-3502 -","","SEM INFORMACAO","kkawabata@sompo.com.br","","55921","True"
"resseguradora eventual::55956","Resseguradora Eventual","AVIVA INSURANCE LIMITED","../-","","","RIO DE JANEIRO - Cep: 20090003","21","22766200 -","","SEM INFORMACAO","godofredo@kincaid.com.br","","55956","True"
"resseguradora eventual::56090","Resseguradora Eventual","AXA FRANCE IARD","../-","","","SÃO PAULO - Cep: 04004040","11","48613900 -","","SEM INFORMACAO","crislocateli@pryorbrasil.com.br","","56090","True"
"resseguradora eventual::56120","Resseguradora Eventual","BERKSHIRE HATHAWAY INTERNATIONAL INSURANCE LIMITED","00.000.000/0000-00","","","SÃO PAULO - Cep: 05419001","11","33561825 -","","SEM INFORMACAO","aalarcon@ demarest.com.br","","56120","True"
"resseguradora eventual::56235","Resseguradora Eventual","STARR INTERNATIONAL (EUROPE) LIMITED","../-","","","SÃO PAULO - Cep: 22280-07","11","42807906 -","","SEM INFORMACAO","alida.verleun@starrcompanies.com","","56235","True"
"resseguradora eventual::56448","Resseguradora Eventual","REASEGURADORA PATRIA S.A.","../-","","","SÃO PAULO - Cep: 05725-03","11","98969-0731 -","","SEM INFORMACAO","ronald.kaufmann@controlconsultoria.com.b","","56448","True"
"resseguradora eventual::56502","Resseguradora Eventual","EULER HERMES NORTH AMERICA INSURANCE COMPANY","00.000.000/0000-00","","","SÃO PAULO - Cep: 05425000","11","30652263 -","","SEM INFORMACAO","marcel.farbelow@eulerhermes","","56502","True"
"resseguradora eventual::56553","Resseguradora Eventual","GENERAL REINSURANCE AG.","../-","","","SÃO PAULO - Cep: 01310200","11","5186-2505 -","","SEM INFORMACAO","lrayes@genre.com","","56553","True"
"resseguradora eventual::56561","Resseguradora Eventual","AWP P&C S.A.(ANTIGA AGA INTERNATIONAL S.A).","../-","","","SÃO BERNARDO DOCAMPO - Cep: 09750730","11","91580-7496 -","","SEM INFORMACAO","daniel.pita@allianz.com","","56561","True"
"resseguradora eventual::56723","Resseguradora Eventual","GENERALI ITALIA S.P.A.","../-","","","RIO DE JANEIRO - Cep:","21","2508-0100 -","","SEM INFORMACAO","renata_ferreira@generali.com.br","","56723","True"
"resseguradora eventual::56766","Resseguradora Eventual","ASPEN INSURANCE UK LIMITED","../-","","","SÃO PAULO - Cep: 05419001","11","3356-1825 -","","SEM INFORMACAO","mcicarelli@demarest.com.br","","56766","True"
"resseguradora eventual::56812","Resseguradora Eventual","AXA FRANCE VIE","../-","","","SÃO PAULO - Cep: 01311000","11","38868982 -","","SEM INFORMACAO","crislocateli@pryorglobal.com","","56812","True"
"resseguradora eventual::56898","Resseguradora Eventual","AXIS REINSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 01418000","11","505498888 -","","SEM INFORMACAO","juan.bragadin@jbael.com.br","","56898","True"
"resseguradora eventual::56901","Resseguradora Eventual","FEDERAL INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 04794000","11","45044350 -","","SEM INFORMACAO","sandra.veiga@chubb.com","","56901","True"
"resseguradora eventual::56961","Resseguradora Eventual","TALANX AG","../-","","","SÃO PAULO - Cep: 04571020","11","95021-8332 -","","SEM INFORMACAO","eduardo.dalri@hdi-yelum.com.br","","56961","True"
"resseguradora eventual::57002","Resseguradora Eventual","MSIG EUROPE SE (NOVA DENOMINAÇÃO DE MS AMLIN INSURANCE SE)","../-","","","SÃO PAULO - Cep: 04004040","11","38864860 -","","SEM INFORMACAO","crislocateli@pryorbrasil.com.br","","57002","True"
"resseguradora eventual::57029","Resseguradora Eventual","ENEL REINSURANCE - COMPAGNIA DI RIASSICURAZIONE S.P.A","../-","","","RIO DE JANEIRO - Cep: 20031924","21","97571-2658 -","","SEM INFORMACAO","julio.aero@bol.com.br","","57029","True"
"resseguradora eventual::57398","Resseguradora Eventual","MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED","../-","","","RIO DE JANEIRO - Cep: 20090003","21","22064900 -","","SEM INFORMACAO","anna.mello@trenchrossi.com","","57398","True"
"resseguradora eventual::57703","Resseguradora Eventual","GENERAL INSURANCE CORPORATION OF INDIA","00.000.000/0000-00","","","JARDIM PAULISTA - Cep: 04004040","11","3886-4860 -","","SEM INFORMACAO","crislocateli@br.gt.com","","57703","True"
"resseguradora eventual::57754","Resseguradora Eventual","COFACE RE S.A.","52.645.810/0001-07","","","SÃO PAULO - Cep: 04571-07","11","55098181 -","","SEM INFORMACAO","patricia.tavares@coface.com","","57754","True"
"resseguradora eventual::57843","Resseguradora Eventual","TRAVELERS CASUALTY AND SURETY COMPANY OF AMERICA","../-","","","SÃO PAULO - Cep: 01311902","11","941010616 -","","SEM INFORMACAO","crislocateli@pryorbrasil.com","","57843","True"
"resseguradora eventual::58050","Resseguradora Eventual","ALLIANZ SE","00.000.000/0000-00","","","SAO PAULO - Cep: 04520012","11","911922303 -","","SEM INFORMACAO","mauricio.masferrer@allianz.com.br","","58050","True"
"resseguradora eventual::58076","Resseguradora Eventual","THE TOA REINSURANCE COMPANY OF AMERICA","../-","","","SÃO PAULO - Cep: 05725030","11","989690731 -","","SEM INFORMACAO","ronald.kaufmann@controlconsultoria.com.b","","58076","True"
"resseguradora eventual::58173","Resseguradora Eventual","IRONSHORE SPECIALTY INSURANCE COMPANY","../-","","","SÃO P AULO - Cep: 01418102","11","951561259 -","","SEM INFORMACAO","dcardoso@azcardoso.com.br","","58173","True"
"resseguradora eventual::58360","Resseguradora Eventual","OMNIUM REINSURANCE COMPANY S.A.","../-","","","SÃO PAULO - Cep: 05725030","11","989690731 -","","SEM INFORMACAO","ronald.kaufmann@controlconsultoria.com.b","","58360","True"
"resseguradora eventual::58645","Resseguradora Eventual","SOLEN VERSICHERUNGEN AG","../-","","","RIO DE JANEIRO - Cep:","21","99873-5948 -","","SEM INFORMACAO","giuliano.tagliari@shell.com","","58645","True"
"resseguradora eventual::58807","Resseguradora Eventual","AXA SA","../-","","","- Cep: 04534010","0","-","","SEM INFORMACAO","staff@pikielny.com.br","","58807","True"
"resseguradora eventual::58840","Resseguradora Eventual","UNIPOL ASSICURAZIONI S.P.A","../-","","","SÃO PAULO - Cep: 04547004","11","34884600 -","","SEM INFORMACAO","societario@guarnera.com.br","","58840","True"
"resseguradora eventual::58921","Resseguradora Eventual","UNITED STATES FIRE INSURANCE COMPANY","../-","","","SÃO PAULO - Cep: 01311000","11","48613900 -","","SEM INFORMACAO","cristiane.locateli@pryorglobal.com","","58921","True"
"resseguradora eventual::58963","Resseguradora Eventual","GENERALI ESPAÑA DE SEGUROS Y REASEGUROS, S.A.","../-","","","RIO DE JANEIRO - Cep:","11","99568-6171 -","","SEM INFORMACAO","fabricio.porto@generali.com","","58963","True"
"resseguradora eventual::58998","Resseguradora Eventual","FIDELIDADE - COMPANHIA DE SEGUROS S.A.","../-","","","SÃO PAULO - Cep: 01451001","11","3150-7003 -","","SEM INFORMACAO","camaral@machadomeyer.com.br","","58998","True"
"resseguradora eventual::59048","Resseguradora Eventual","SAVA REINSURANCE COMPANY D.D.","../-","","","RIO DE JANEIRO - Cep: 20031050","21","22835550 -","","SEM INFORMACAO","intimacao@ftorres.com.br","","59048","True"
"resseguradora eventual::59226","Resseguradora Eventual","AXA XL INSURANCE COMPANY UK LIMITED","../-","","","SÃO PAULO - Cep: 04543000","11","35139295 -","","SEM INFORMACAO","renato.santanna@axaxl.com","","59226","True"
"resseguradora eventual::59536","Resseguradora Eventual","COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR - COFACE","../-","","","SÃO PAULO - Cep: 04571070","11","55098181 -","","SEM INFORMACAO","patricia.tavares@coface.com","","59536","True"
"resseguradora eventual::59641","Resseguradora Eventual","CONVEX INSURANCE UK LIMITED","../-","","","SÃO PAULO - Cep: 05419001","11","33561821 -","","SEM INFORMACAO","aalarcon@demarest.com.br","","59641","True"
"resseguradora eventual::59803","Resseguradora Eventual","WESTPORT INSURANCE CORPORATION","../-","","","SÃO PAULO - Cep: 01451001","11","30738068 -","","SEM INFORMACAO","beatriz_almada@swissre.com","","59803","True"
